"name","category","image","description"
"Bio-Akash21","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Advanced technology stove for optimal efficiency in busy commercial kitchens."
"Bio-Prithvi24","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Top-tier stove designed for the most demanding cooking tasks, with minimal environmental impact."
"Harit-Jumbo27","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","Extra-large stove for industrial kitchens, providing exceptional performance and sustainability."
"Jumbo-Shakti36","Smokeless Stoves","../assets/products/smokeless-stoves/smokeless-stove.jpeg","The ultimate solution for large-scale cooking operations, combining efficiency with robust design."
"Auto Bio-Mawa Machine","Mawa Machines","../assets/products/mawa-machines/mawa-machine.jpeg","Automated solution for mawa production, enhancing efficiency and quality in dairy processing."
"Eco-Green Biochar05 - 5kg/hr Biomass based Bio-char Plant","Bio-char Plants","../assets/products/bio-char-plants/bio-char-plant.jpeg","Entry-level biochar producer for small-scale agricultural and environmental applications."
"Eco-Green Biochar10 - 10kg/hr Biomass based Bio-char Plant","Bio-char Plants","../assets/products/bio-char-plants/bio-char-plant.jpeg","Perfect for moderate-scale operations looking to improve soil health and reduce carbon footprint."
"Eco-Green Biochar50 - 50kg/hr Biomass based Bio-char Plant","Bio-char Plants","../assets/products/bio-char-plants/bio-char-plant.jpeg","Advanced system for significant biochar production, suitable for large farms and environmental projects."
"Eco-Green Biochar100 - 100kg/hr Biomass based Bio-char Plant","Bio-char Plants","../assets/products/bio-char-plants/bio-char-plant.jpeg","High-capacity biochar production unit for industrial use, promoting sustainability and waste reduction."
"Eco-Green Biochar200 - 200kg/hr Biomass based Bio-char Plant","Bio-char Plants","../assets/products/bio-char-plants/bio-char-plant.jpeg","Industrial-grade biochar solution for comprehensive environmental management and soil enhancement."
"Eco-Green Biochar500 - 500kg/hr Biomass based Bio-char Plant","Bio-char Plants","../assets/products/bio-char-plants/bio-char-plant.jpeg","Top-tier, large-scale biochar production facility for maximum output and environmental impact reduction."
"85M³ Biogas Dome","Biogas Domes","../assets/products/biogas-domes/biogas-dome.jpeg","Large capacity biogas storage solution, ideal for substantial biogas plants."
"Solid Liquid Separator (Dewatering Machine)","Dewatering Machines","../assets/products/dewatering-machines/dewatering-machine.jpeg","Efficient separation of solid and liquid components in agricultural and industrial waste, enhancing waste management processes."
"ESB-R 200LPD Used Oil Distillation Machine","Oil Distillation Machines","../assets/products/oil-distillation/oil-distillation-machine.jpeg","Compact distillation unit for recycling up to 200 liters per day of used engine oil."
"ESB-R 500LPD Used Oil Distillation Machine","Oil Distillation Machines","../assets/products/oil-distillation/oil-distillation-machine.jpeg","Medium-scale oil distillation machine, ideal for workshops and small factories."
"ESB-R 1000LPD Used Oil Distillation Machine","Oil Distillation Machines","../assets/products/oil-distillation/oil-distillation-machine.jpeg","High-performance distillation machine capable of processing up to 1000 liters per day, suitable for larger operations."
"Control Panels","Control Panels","../assets/products/control-panels/control-panel.jpeg","Customized electrical control panels for various industrial applications, ensuring safety and operational efficiency."
"Acoustic Enclosure (Canopy) for DG Sets","Acoustic Enclosures","../assets/products/acoustic-enclosures/acoustic-enclosure.jpeg","Designed to reduce noise pollution from diesel generators, suitable for urban and residential areas."
"Biomass Shredder","Biomass Shredders","../assets/products/biomass-shredders/biomass-shredder.jpeg","Robust machinery for shredding various organic materials, enhancing biomass processing efficiency."
"Biomass/Wood Cutter","Wood Cutters","../assets/products/wood-cutters/wood-cutter.jpeg","Highly efficient tool for cutting wood and other biomass materials, essential for biomass preparation."
"Biomass Dryer","Biomass Dryers","../assets/products/biomass-dryers/biomass-dryer.jpeg","Effective drying solution for biomass materials, optimizing moisture content for further processing."
"Charcoal Briquette Machine","Briquette Machines","../assets/products/briquette-machines/briquette-machine.jpeg","Converts agricultural waste into charcoal briquettes, providing an eco-friendly energy source."
"CNC/ Hydraulic Bending Machine Job Work","Machine Job Work","../assets/products/machine-job-work/machine-job-work.jpeg","Precision bending services for metal fabrication, utilizing CNC and hydraulic technology."
